,θ0,θ1,θ2,θ3,θ4,θ5,θ6,θ7,θ8,θ9,θ10,θ11,G,b
q0,,,,,,1.0,,,,,,,0.4553672726087876,To
q1,1.0,,,,,,,,,,,,138.75,To
q2,-1.0,1.0,,,,,,,,,,,22.2,
q3,,-1.0,1.0,,,,,,,,,,22.2,
q4,,,-1.0,1.0,,,,,,,,,12.764999999999999,
q5,,,,-1.0,1.0,,,,,,,,12.764999999999999,
q6,,,,,-1.0,1.0,,,,,,,44.4,
q7,,,,,,1.0,,,,,,,0.15371696152806047,To
q8,,,,,,1.0,,,,,,,9.0,To
q9,,,,,,1.0,,,,,,,0.0,Ti_sp
q10,,,,,,-1.0,,,,,,-1.0,0.15340763818524444,
q11,,,,,,,,,,,,1.0,0.4553672726087876,To
q12,,,,,,,1.0,,,,,,138.75,To
q13,,,,,,,-1.0,1.0,,,,,22.2,
q14,,,,,,,,-1.0,1.0,,,,22.2,
q15,,,,,,,,,-1.0,1.0,,,12.764999999999999,
q16,,,,,,,,,,-1.0,1.0,,12.764999999999999,
q17,,,,,,,,,,,1.0,-1.0,44.4,
q18,,,,,,,,,,,,1.0,0.15371696152806047,To
q19,,,,,,,,,,,,1.0,9.0,To
q20,,,,,,,,,,,,1.0,0.0,Ti_sp
C,0.0,3496500.0,0.0,4662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
f,Φo1,0.0,0.0,0.0,Φi1,Qa,Φo2,0.0,0.0,0.0,Φi2,Qa,,
y,,,,,,1.0,,,,,,,,
